ID,TIED,PLACE,STATE,ID_MEDALLA,ID_OLIMPIADA,ID_EVENTO
615,False,13.0,COMPLETED,1,19,71
616,False,57.0,COMPLETED,1,14,71
617,False,52.0,COMPLETED,1,14,70
618,False,17.0,COMPLETED,1,14,73
619,False,45.0,COMPLETED,1,5,70
620,False,1.0,COMPLETED,4,5,73
621,False,50.0,COMPLETED,1,14,70
622,False,42.0,COMPLETED,1,5,70
623,False,33.0,COMPLETED,1,20,70
624,False,47.0,COMPLETED,1,13,70
625,False,49.0,COMPLETED,1,19,70
626,False,37.0,COMPLETED,1,13,70
627,False,29.0,COMPLETED,1,20,70
628,False,32.0,COMPLETED,1,14,70
629,False,28.0,COMPLETED,1,5,70
630,False,60.0,COMPLETED,1,3,70
631,False,52.0,COMPLETED,1,5,70
632,False,42.0,COMPLETED,1,3,70
633,False,56.0,COMPLETED,1,14,71
634,False,13.0,COMPLETED,1,14,72
635,False,14.0,COMPLETED,1,20,71
636,False,3.0,COMPLETED,2,20,71
637,False,5.0,COMPLETED,1,13,71
638,False,20.0,COMPLETED,1,14,71
639,False,55.0,COMPLETED,1,14,71
640,False,15.0,COMPLETED,1,13,71
641,False,27.0,COMPLETED,1,14,70
642,False,4.0,COMPLETED,1,14,73
643,False,57.0,COMPLETED,1,5,70
644,False,2.0,COMPLETED,3,5,73
645,False,20.0,COMPLETED,1,19,70
646,False,8.0,COMPLETED,1,5,70
647,False,20.0,COMPLETED,1,3,70
648,False,8.0,COMPLETED,1,3,73
649,False,50.0,COMPLETED,1,6,70
650,False,20.0,COMPLETED,1,18,70
651,False,3.0,COMPLETED,2,19,70
652,False,15.0,COMPLETED,1,18,70
653,False,7.0,COMPLETED,1,20,70
654,False,28.0,COMPLETED,1,13,70
655,False,1.0,COMPLETED,4,20,70
656,False,5.0,COMPLETED,1,13,70
657,False,11.0,COMPLETED,1,14,70
658,False,24.0,COMPLETED,1,5,70
659,False,12.0,COMPLETED,1,3,70
660,False,40.0,COMPLETED,1,19,70
